regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,101MünchenHadern,102MünchenBogenhausen,103MünchenGiesing,104MünchenMilbertshofen,105MünchenMoosach,106MünchenPasing,107MünchenRamersdorf,108MünchenSchwabing,109Altötting,"110Bad TölzWolfratshausen,GarmischPartenkirchen",111BerchtesgadenerLand,112Dachau,113Ebersberg,114Eichstätt,115Erding,116Freising,117FürstenfeldbruckOst,"118Ingolstadt,Neuburga.d.Donau","119Landsbergam Lech,FürstenfeldbruckWest",120Miesbach,121Mühldorf a.Inn,122MünchenLandNord,123MünchenLandSüd,124NeuburgSchrobenhausen,125Pfaffenhofen a.d.Ilm,126RosenheimOst,127RosenheimWest,128Starnberg,129Traunstein,130WeilheimSchongau
901,6,Die Linke,17,"Selke, Marianne",38,,361,361,22,19,28,21,15,14,10,24,9,15,5,8,5,6,7,12,15,5,17,7,7,20,18,5,6,9,4,10,8,10
901,6,Die Linke,18,"Hahn, Johann",13,,1888,182,5,8,4,6,3,2,7,1,2,23,7,8,3,4,2,4,5,3,37,7,4,3,4,2,3,6,6,2,11,1706*
901,6,Die Linke,19,"Killet, Julia",11,,1972,410,26,30,55,31,20,1562*,20,28,5,12,8,13,7,7,11,24,11,4,13,7,2,10,6,7,2,8,7,10,10,16
901,6,Die Linke,20,"Mosner, Reinhard",22,,1247,196,9,14,17,13,11,7,18,10,5,7,4,1051*,4,1,7,4,9,1,6,3,3,7,5,6,3,3,4,5,5,5
901,6,Die Linke,21,"Reith, Monika",39,,332,332,5,5,6,9,9,5,6,4,4,4,3,4,3,112,2,5,8,59,12,3,6,3,3,22,17,3,2,2,1,5
901,6,Die Linke,22,"Tepperies, Jan",30,,836,836,72,57,67,50,27,42,30,47,13,19,19,26,18,14,22,14,36,11,29,8,13,29,36,20,13,21,21,13,22,27
901,6,Die Linke,23,"Pojda, Regina",47,,224,224,7,2,,2,5,5,2,3,,3,3,4,,24,3,4,3,100,5,1,,1,2,26,8,1,1,2,2,5
901,6,Die Linke,24,"Paskowski, Roberto",49,,202,202,2,4,1,2,2,4,2,2,4,3,3,1,4,13,1,1,2,78,1,1,3,2,2,37,12,2,2,2,2,7
901,6,Die Linke,25,"Grimm, Alexandra",37,,389,389,21,18,19,25,16,29,25,35,7,5,4,7,8,8,11,11,15,11,13,6,5,18,17,4,3,4,9,7,11,17
901,6,Die Linke,26,"Zitzlsberger, Johann",33,,571,571,14,15,22,21,22,15,12,8,7,10,7,16,13,7,35,180,22,11,11,5,9,18,15,10,5,6,16,9,13,17
901,6,Die Linke,27,"Keller, Ellen",50,,168,168,8,10,9,8,4,6,12,7,2,1,5,6,2,2,5,6,7,3,9,2,4,7,3,9,8,2,7,2,5,7
901,6,Die Linke,28,"Dannhorn, Manfred",18,,1458,178,3,1,1,1,4,3,5,1,23,3,80,,4,,3,3,1,,2,3,6,,1,,1,15,8,2,1280*,4
901,6,Die Linke,29,"Fingert, Annemarie",48,,210,210,14,7,8,10,8,23,15,9,4,4,5,3,4,2,2,7,12,3,6,4,1,12,9,6,2,7,5,7,5,6
901,6,Die Linke,30,"LohmüllerKaupp, Jürgen",6,,2255,170,8,7,21,2085*,21,11,8,15,2,6,2,4,5,1,2,4,6,1,8,3,2,6,5,2,1,4,3,4,4,4
901,6,Die Linke,31,"MittermaierMühldorfer, Rosa",25,,1222,387,18,17,29,40,30,14,15,22,8,11,835*,8,9,7,6,9,8,16,15,6,8,10,10,5,3,7,15,7,26,8
901,6,Die Linke,32,"Bornemann, KlausDieter",43,,292,292,7,18,26,16,25,16,20,12,7,2,4,5,9,6,9,10,5,7,5,3,5,16,10,5,4,12,6,3,9,10
901,6,Die Linke,33,"Hodek, Ulrike",44,,266,266,3,4,1,9,2,4,5,3,4,3,5,3,2,30,7,4,3,78,8,1,3,4,3,27,26,5,5,2,2,10
901,6,Die Linke,34,"Sedlaczek, Ulrich",58,,93,93,5,17,6,6,3,7,4,3,1,5,4,,2,,,3,1,2,1,1,,2,3,2,1,2,3,2,1,6
901,6,Die Linke,35,"Fingert, Diana",51,,142,142,7,4,11,7,11,8,4,6,,5,4,2,6,1,4,1,7,3,2,1,3,11,5,1,5,5,5,3,5,5
901,6,Die Linke,36,"Sedlmaier, Hans",12,,1890,386,26,21,30,18,1504*,5,13,27,7,11,10,17,14,9,11,18,14,10,14,5,8,19,15,5,4,5,7,11,22,10
901,6,Die Linke,37,"Rönner, Almuth",52,,139,139,3,8,1,6,2,3,2,8,2,4,3,2,5,4,3,5,1,3,4,1,2,4,2,13,35,3,,1,4,5
901,6,Die Linke,38,"Zacher, Georg",55,,121,121,2,2,6,2,1,6,,,1,4,3,3,4,35,2,3,6,4,5,4,2,3,1,1,1,3,8,2,5,2
901,6,Die Linke,39,"Reinfeld, Doris",36,,489,489,12,11,17,13,9,16,13,13,4,19,6,10,3,56,5,13,6,121,12,5,4,5,11,33,23,12,9,6,7,15
901,6,Die Linke,40,"Hager, Jörg",31,,787,78,1,2,1,2,2,1,3,1,1,19,2,2,,,2,,5,,2,709*,1,,2,4,,7,4,5,6,3
901,6,Die Linke,41,"Obermeier, Josef",16,,1565,440,5,9,9,1,4,2,4,4,14,8,12,4,23,6,10,11,6,5,8,57,9,9,17,3,4,1125*,159,3,21,13
901,6,Die Linke,42,"Thon, Ruth",46,,243,243,12,15,18,15,16,7,10,16,3,7,4,6,7,3,3,9,5,2,6,5,3,10,11,4,4,7,6,5,9,15
901,6,Die Linke,43,"Utz, Erich",14,,1743,83,1660*,9,7,10,10,7,3,9,1,,1,,2,2,1,5,,1,6,1,,1,1,,,,3,1,1,1
901,6,Die Linke,44,"Hopp, Roland",45,,257,257,3,4,5,11,3,1,4,7,3,8,3,5,,28,2,3,1,106,5,2,1,2,2,18,15,2,3,2,5,3
