regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,201Deggendorf,202Dingolfing,203Kelheim,204Landshut,205PassauOst,206PassauWest,"207Regen,FreyungGrafenau",208RottalInn,209Straubing
902,10,BüSo,,Gesamtstimmen,,,35146,16456,2253,5152,3977,5144,5913,1992,3568,3505,3642
902,11,Die Freiheit,1,"Pittner, Otto",1,,2409,1518,170,193,174,245,297,154,891*,135,150
902,11,Die Freiheit,2,"Weiherer, HeideMarie",2,,1973,798,80,64,46,94,1175*,147,252,64,51
902,11,Die Freiheit,3,"Valentini, Guido",9,,1014,321,42,48,26,66,35,32,41,693*,31
902,11,Die Freiheit,4,"Schumann, Heiko",4,,1367,404,57,51,31,94,39,29,50,53,963*
902,11,Die Freiheit,5,"Straßer, Florian Thomas",6,,1120,228,892*,22,18,19,15,11,103,20,20
902,11,Die Freiheit,6,"Cihula, Jiri",16,,265,265,8,24,6,26,131,30,18,8,14
902,11,Die Freiheit,7,"Goerlich, Günter",10,,1011,1011,88,101,74,151,45,21,76,63,392
902,11,Die Freiheit,8,"Seifert, Maximilian",12,,733,733,67,52,42,79,227,83,66,74,43
902,11,Die Freiheit,9,"Kastner, Jan",8,,1065,216,24,34,849*,48,20,18,20,24,28
902,11,Die Freiheit,10,"Ecker, Michael",11,,843,843,73,82,80,100,64,57,83,85,219
902,11,Die Freiheit,11,"Lichtmannecker, Alois",5,,1172,210,6,962*,16,153,8,4,4,15,4
902,11,Die Freiheit,12,"Reidel, Christian",7,,1073,1073,83,74,43,94,371,179,87,75,67
902,11,Die Freiheit,13,"Freund, Simon",14,,327,327,15,185,11,23,10,12,10,59,2
902,11,Die Freiheit,14,"Schwarzweller, Sebastian",13,,330,330,11,24,193,49,8,4,9,14,18
902,11,Die Freiheit,15,"Fleischman, Frederik",15,,287,287,24,12,11,23,10,2,166,13,26
902,11,Die Freiheit,16,"Zehe, Matthias",3,,1466,138,12,42,31,1328*,8,10,7,14,14
902,11,Die Freiheit,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,87,87,8,4,11,14,12,6,9,16,7
902,11,Die Freiheit,,Erststimmen insgesamt,,,7753,,892,962,849,1328,1175,,891,693,963
902,11,Die Freiheit,,Zweitstimmen insgesamt,,,8789,8789,768,1012,813,1278,1300,799,1001,732,1086
902,11,Die Freiheit,,Gesamtstimmen,,,16542,8789,1660,1974,1662,2606,2475,799,1892,1425,2049
