UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
51014,10,DIE FRANKEN,905,1014,"Grupe, Christian",1971,Erlangen
51015,10,DIE FRANKEN,905,1015,"Haas, Edeltraud",1957,Feucht
51016,10,DIE FRANKEN,905,1016,"Zehner, Roland",1959,Heßdorf
51017,10,DIE FRANKEN,905,1017,"Raber, Regina",1947,Oberasbach
51018,10,DIE FRANKEN,905,1018,"Gsänger, Franz",1947,Roth
51019,10,DIE FRANKEN,905,1019,"Pudalik, Roland",1955,Feucht
51020,10,DIE FRANKEN,905,1020,"Hasenest, Werner",1954,Neunkirchen a.Sand
51021,10,DIE FRANKEN,905,1021,"Zagel, Ralph",1974,Lauf a.d.Pegnitz
51022,10,DIE FRANKEN,905,1022,"Trutz, Paul",1986,Nürnberg
51023,10,DIE FRANKEN,905,1023,"Dorsch, Marco",1981,Westheim
51024,10,DIE FRANKEN,905,1024,"Bloos, Werner",1968,Haundorf
51101,11,AfD,905,1101,"Swoboda, Raimund",1950,Markt Erlbach
51102,11,AfD,905,1102,"Müller, Dr. Ralph",1963,Altdorf b.Nürnberg
51103,11,AfD,905,1103,"Pleyer, Claus-Georg",1967,Zirndorf
51104,11,AfD,905,1104,"Mang, Ferdinand",1978,Allersberg
51105,11,AfD,905,1105,"Jentzsch, René",1975,Höchstadt a.d.Aisch
51106,11,AfD,905,1106,"Meier, Johannes",1989,Ansbach
51107,11,AfD,905,1107,"Lang, Siegfried",1964,Burgsalach
51108,11,AfD,905,1108,"Meister, Michael",1963,Herzogenaurach
51109,11,AfD,905,1109,"Dörner, Dr. Wolfgang Marc",1960,Nürnberg
51110,11,AfD,905,1110,"Vogler, Matthias",1981,Nürnberg
51111,11,AfD,905,1111,"Konrad, Peter",1975,Würzburg
51112,11,AfD,905,1112,"Wahner, Klaus",1964,Nürnberg
51301,13,mut,905,1201,"Deutschmann, Christine",1967,Lauf a.d.Pegnitz
51302,13,mut,905,1202,"Philipp, Susanne",1964,Rednitzhembach
51303,13,mut,905,1203,"Turetschek, Herbert",1958,Nürnberg
51304,13,mut,905,1204,"Bullmer, Andrea",1950,Nürnberg
51305,13,mut,905,1205,"Wohlgemuth, Wolfgang",1960,Erlangen
51306,13,mut,905,1206,"Wolfram, Ute",1960,Schwabach
51307,13,mut,905,1207,"Flohr, Dieter",1963,Cadolzburg
51308,13,mut,905,1208,"Weberpals, Dieter",1954,Offenhausen
51309,13,mut,905,1209,"Lengenfelder, Rainer",1962,Nürnberg
51310,13,mut,905,1210,"Schößwender, Martina",1971,Pommelsbrunn
51311,13,mut,905,1211,"Keller, Helmut",1959,Nürnberg
51312,13,mut,905,1212,"Schnack, Arwen",1981,Nürnberg
51313,13,mut,905,1213,"Nißlbeck, Wolfgang",1962,Nürnberg
51314,13,mut,905,1214,"Philipp, Larissa-Katharina",1997,Rednitzhembach
51315,13,mut,905,1215,"Meier, David",1988,Nürnberg
51316,13,mut,905,1216,"Wohlgemuth, Melina",1994,Erlangen
51317,13,mut,905,1217,"Kindler, Manfred",1940,Schwabach
51318,13,mut,905,1218,"Wohlgemuth, Carina",1989,Nürnberg
51319,13,mut,905,1219,"Philipp, Karlheinz",1959,Rednitzhembach
51320,13,mut,905,1220,"Deutschmann, Tobias",1996,Lauf a.d.Pegnitz
51321,13,mut,905,1221,"Ackermann, Renate",1952,Ansbach
51501,15,Die PARTEI,905,1301,"Volkert, Patrick",1988,Georgensgmünd
51502,15,Die PARTEI,905,1302,"Roser, Julian",1993,Kammerstein
51503,15,Die PARTEI,905,1303,"Pleick, Yannik",1998,Hilpoltstein
51504,15,Die PARTEI,905,1304,"Schelte, Simon",1995,Schwanstetten
51505,15,Die PARTEI,905,1305,"Dörrie, Dr. Jan",1973,Nürnberg
51506,15,Die PARTEI,905,1306,"Neidnicht, Josefine",1994,Nürnberg
51507,15,Die PARTEI,905,1307,"Kristuf, Rainer",1961,Fürth
51508,15,Die PARTEI,905,1308,"Hubatsch, Leon",1998,Veitsbronn
51509,15,Die PARTEI,905,1309,"Knapp, Jörg",1966,Nürnberg
51601,16,Gesundheitsforschung,905,1401,"Beyerlein, Andrea",1958,Roth
51602,16,Gesundheitsforschung,905,1402,"Asbeck, Stefan",1987,München
51603,16,Gesundheitsforschung,905,1403,"Preis, Alexander",1996,Erlangen
51801,18,V-Partei,905,1501,"Streck, Markus",1972,Wendelstein
51802,18,V-Partei,905,1502,"Moshammer, Daniel",1988,Treuchtlingen
51803,18,V-Partei,905,1503,"Michalko, Simone",1975,Nürnberg
51804,18,V-Partei,905,1504,"Sibai, Amina",1987,Ansbach
51805,18,V-Partei,905,1505,"Garratt, Daniel",1994,Nürnberg
51806,18,V-Partei,905,1506,"Näser, Melanie",1979,Nürnberg
51807,18,V-Partei,905,1507,"Fischer, Michaela",1961,Cadolzburg
51808,18,V-Partei,905,1508,"Dischner, Doris",1962,Hersbruck
51809,18,V-Partei,905,1509,"Erler, Marie Alin",1997,Zirndorf
51810,18,V-Partei,905,1510,"Maurer, Michaela",1972,Nürnberg
60101,1,CSU,906,101,"Stamm, Barbara",1944,Würzburg
60102,1,CSU,906,102,"Eck, Gerhard",1960,Donnersdorf
60103,1,CSU,906,103,"Bausback, Prof. Dr. Winfried",1965,Aschaffenburg
60104,1,CSU,906,104,"Demar, Juliane",1993,Großbardorf
60105,1,CSU,906,105,"Becker, Barbara",1969,Wiesenbronn
60106,1,CSU,906,106,"Gerlach, Judith",1985,Weibersbrunn
