regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,6,Die Linke,23,"Wangerin, Eckart",23,,341,341,37,14,16,26,22,19,41,66,45,24,17,14
905,6,Die Linke,24,"Escherich, Alfred Georg",14,,1460,153,8,4,89,5,11,4,3,2,13,5,9,1307*
905,6,Die Linke,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,244,244,25,26,21,19,16,13,15,16,38,18,27,10
905,6,Die Linke,,Erststimmen insgesamt,,,23342,,2932,2187,1681,2073,1733,1533,1623,1739,3322,1711,1501,1307
905,6,Die Linke,,Zweitstimmen insgesamt,,,25594,25594,3163,2222,1934,2534,1935,1835,1641,2126,3254,1934,1617,1399
905,6,Die Linke,,Gesamtstimmen,,,48936,25594,6095,4409,3615,4607,3668,3368,3264,3865,6576,3645,3118,2706
905,7,ÖDP,1,"Forster, Manuela",2,,3391,2580,811*,205,157,191,332,244,162,222,269,352,237,209
905,7,ÖDP,2,"Osterlänger, Jürgen",3,,2411,699,207,43,24,30,81,45,67,54,63,1712*,42,43
905,7,ÖDP,3,"Ebert, Reinhard",4,,1878,194,28,10,12,7,32,1684*,8,21,14,40,5,17
905,7,ÖDP,4,"Reinhart, Manfred",7,,1216,523,30,21,20,9,24,28,693*,298,27,32,17,17
905,7,ÖDP,5,"Hermann, Eilin",9,,1035,410,67,48,625*,36,35,21,33,31,38,28,34,39
905,7,ÖDP,6,"Wolkersdorfer, Roland",5,,1852,929,62,72,264,41,110,72,51,53,79,66,59,923*
905,7,ÖDP,7,"Stadelmann, Christian",6,,1359,397,39,24,18,23,57,26,70,962*,24,42,55,19
905,7,ÖDP,8,"Schilling, Jürgen",1,,3794,1852,133,155,85,71,1942*,217,129,202,145,387,142,186
905,7,ÖDP,9,"Jäger, Frank",11,,766,70,7,696*,11,9,7,5,3,3,5,4,10,6
905,7,ÖDP,10,"May, Daniela",8,,1171,370,17,7,4,15,14,6,10,7,801*,270,7,13
905,7,ÖDP,11,"Schmotz, Carsten",13,,750,36,7,9,3,,1,,4,1,2,4,714*,5
905,7,ÖDP,12,"Gruber, Maximilian",14,,630,124,24,18,23,506*,5,4,4,9,10,10,9,8
905,7,ÖDP,13,"Schrollinger, Thomas",12,,758,758,98,100,157,59,45,41,29,41,47,39,52,50
905,7,ÖDP,14,"Schweiger, Dr. Hermann",10,,831,831,18,11,8,14,508,171,15,22,12,17,17,18
905,7,ÖDP,15,"Ullmann, Christian",19,,224,224,8,7,3,7,7,4,28,130,7,11,8,4
905,7,ÖDP,16,"Kunz, Mario",20,,205,205,8,7,6,7,25,11,8,15,17,84,7,10
905,7,ÖDP,17,"Scherer, Simon",15,,442,442,9,8,4,11,17,340,10,11,6,7,3,16
905,7,ÖDP,18,"Blumenthal von, Dr. Astrid",16,,434,434,19,15,7,8,242,45,5,9,18,33,10,23
905,7,ÖDP,19,"Vitzthum, Heinrich",24,,76,76,5,3,1,1,6,1,7,28,6,11,2,5
905,7,ÖDP,20,"Forstmeier, Werner",17,,356,356,5,5,3,2,275,39,2,4,5,9,4,3
905,7,ÖDP,21,"Kleemann, Margit",18,,344,344,12,11,12,11,27,184,12,14,15,25,14,7
905,7,ÖDP,22,"Schmotz, Zita",21,,161,161,3,7,1,4,1,2,3,1,5,3,129,2
905,7,ÖDP,23,"Müller, Norbert",22,,97,97,14,8,11,21,7,6,2,4,7,4,3,10
905,7,ÖDP,24,"Mayer, Werner",23,,84,84,5,7,3,6,12,6,7,20,9,5,3,1
905,7,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,134,134,13,5,7,11,12,16,3,7,12,23,16,9
