regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,601  Aschaffenburg-Ost,602  Aschaffenburg-West,603  Bad Kissingen,"604  Haßberge, Rhön-Grabfeld",605  Kitzingen,606  Main-Spessart,607  Miltenberg,608  Schweinfurt,609  Würzburg-Land,610  Würzburg-Stadt
906,9,Bayern Partei,14,"Pohley, Dominik",18,,139,139,1,16,7,16,62,5,6,6,13,7
906,9,Bayern Partei,15,"Kaiser, Jan",16,,144,144,22,68,3,9,5,4,24,1,5,3
906,9,Bayern Partei,16,"BergmannAlbert, Daniela",17,,141,141,5,4,9,4,1,105,2,3,6,2
906,9,Bayern Partei,17,"Götz, Sabine",11,,642,642,19,20,78,180,16,26,22,233,23,25
906,9,Bayern Partei,18,"Gold, Ralf",13,,249,249,7,2,4,5,172,6,9,12,21,11
906,9,Bayern Partei,19,"Schwarz, Robert",20,,96,96,40,9,1,1,3,11,26,4,1,
906,9,Bayern Partei,20,"Albert, Erwin",14,,225,225,6,14,24,9,6,111,7,12,24,12
906,9,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,31,31,4,4,2,2,4,3,2,1,5,4
906,9,Bayern Partei,,Erststimmen insgesamt,,,8396,,672,947,893,781,1202,713,796,1071,814,507
906,9,Bayern Partei,,Zweitstimmen insgesamt,,,6322,6322,686,797,444,664,848,617,596,713,582,375
906,9,Bayern Partei,,Gesamtstimmen,,,14718,6322,1358,1744,1337,1445,2050,1330,1392,1784,1396,882
906,10,BüSo,1,"Thüngen Freifrau von, Christiane",1,,4953,4953,231,154,511,518,334,1266,251,555,688,445
906,10,BüSo,2,"Weinig, Oskar",4,,2374,642,30,22,48,91,80,111,41,74,1732*,145
906,10,BüSo,3,"Dürbeck, Matthias",7,,1350,386,964*,62,18,74,24,57,55,24,49,23
906,10,BüSo,4,"Fischer, Horst",2,,3133,783,48,29,256,2350*,49,170,23,89,76,43
906,10,BüSo,5,"Fischer, Mario",5,,1956,1956,82,30,743,549,72,99,60,182,99,40
906,10,BüSo,6,"Gehrig, Joachim",3,,2826,589,66,22,38,140,35,2237*,34,64,136,54
906,10,BüSo,7,"Hubrich, Joachim",8,,559,559,23,11,7,29,10,417,9,12,29,12
906,10,BüSo,8,"Lobenhofer, Christian",10,,488,488,25,11,8,23,21,300,17,16,50,17
906,10,BüSo,9,"Mack, Walter",6,,1498,432,28,10,20,60,66,25,28,37,158,1066*
906,10,BüSo,10,"Wagner, Peter",11,,468,468,21,13,17,68,41,22,19,30,113,124
906,10,BüSo,11,"WagnerBlind, Mechthild",9,,520,520,31,17,16,76,49,36,25,45,132,93
906,10,BüSo,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,92,92,6,4,11,13,10,14,6,17,7,4
906,10,BüSo,,Erststimmen insgesamt,,,8349,,964,,,2350,,2237,,,1732,1066
906,10,BüSo,,Zweitstimmen insgesamt,,,11868,11868,591,385,1693,1641,791,2517,568,1145,1537,1000
906,10,BüSo,,Gesamtstimmen,,,20217,11868,1555,385,1693,3991,791,4754,568,1145,3269,2066
906,11,Die Freiheit,1,"Neuwirth, Jürgen",1,,4738,3256,329,355,270,375,296,1482*,286,294,437,614
906,11,Die Freiheit,2,"Büttner, Johannes",4,,2413,1150,255,1263*,28,38,30,354,276,36,54,79
906,11,Die Freiheit,3,"Gerlach, Gernot",2,,3258,1311,74,105,121,150,175,199,76,118,293,1947*
906,11,Die Freiheit,4,"Kesper, Beate",5,,2176,925,74,89,69,115,1251*,98,66,85,146,183
