regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,5,FDP,51,"Pautzke, Felix",54,51,,552,552,7,8,4,3,5,8,6,12,5,11,11,331,8,1,3,14,2,5,4,9,0,3,12,8,2,1,11,8,4,45,1
901,5,FDP,52,"Weltin, Beate",43,52,,535,535,21,23,50,31,24,30,20,26,29,11,15,5,16,14,2,11,15,22,8,24,8,12,21,24,10,8,6,9,17,8,15
901,5,FDP,53,"Brockmann, Oliver",53,53,,474,474,2,2,2,3,0,2,0,3,3,4,1,0,39,0,19,1,9,3,28,7,1,2,9,1,287,33,2,2,3,1,5
901,5,FDP,54,"Samitz, Josef",55,54,,390,390,3,2,6,6,5,2,5,4,5,3,4,4,3,6,0,243,36,4,1,3,0,9,7,4,5,4,2,6,2,2,4
901,5,FDP,55,"Braun, Hildebrecht",35,55,,369,369,18,18,31,26,13,15,14,18,19,4,13,1,17,7,8,8,8,13,8,7,9,5,19,25,3,5,10,3,11,2,11
901,5,FDP,56,"Scholler, Jörg",47,56,,356,356,9,4,7,5,3,16,9,4,2,1,2,2,2,5,1,1,2,21,3,10,2,1,1,183,1,2,2,1,46,4,4
901,5,FDP,57,"Gawlik, Maximilian",40,57,,193,193,20,11,10,10,7,5,16,4,4,1,6,1,3,6,3,7,5,6,8,9,1,1,12,13,2,4,6,5,1,3,3
901,5,FDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,1.873,1.873,60,42,85,78,49,62,54,87,53,37,59,20,85,62,34,46,69,71,43,81,81,42,79,87,39,59,60,56,89,32,72
901,5,FDP,,Erststimmen insgesamt,,,,155.344,-,5.480,6.073,7.815,6.720,5.300,6.093,5.106,8.862,6.092,2.099,4.109,2.351,4.724,5.270,3.316,3.256,4.182,5.496,4.257,5.515,3.283,1.843,7.011,9.442,1.760,5.665,4.400,4.474,7.807,3.072,4.471
