regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,5,FDP,4,"Pöhner, Martin",4,,2083,597,251,1486*,66,50,101,37,43,49
904,5,FDP,5,"Joachim, Christian",5,,1859,311,28,19,60,39,48,1548*,18,99
904,5,FDP,6,"Fritsch, Robert",9,,1620,429,1191*,105,92,54,79,34,43,22
904,5,FDP,7,"Peter, JensUwe",8,,1625,199,27,22,29,1426*,33,17,45,26
904,5,FDP,8,"Schroll, Patrick",6,,1739,205,14,42,60,21,1534*,28,14,26
904,5,FDP,9,"Hahn, Dr. Thomas",10,,987,987,151,497,82,65,82,36,45,29
904,5,FDP,10,"Schwemmlein, Marcel",13,,455,455,8,13,36,36,46,24,276,16
904,5,FDP,11,"Brandt, Christoph",14,,437,437,71,284,15,14,23,5,16,9
904,5,FDP,12,"Drechsler, Margit",15,,354,354,13,9,48,16,30,22,16,200
904,5,FDP,13,"Dötzer, Christoph",12,,461,461,15,3,18,4,412,4,4,1
904,5,FDP,14,"Schweingel, Dr. Dieter",3,,2305,2305,38,84,1622,75,102,137,55,192
904,5,FDP,15,"Froeschmann, Peter",16,,284,284,2,4,9,6,5,229,4,25
904,5,FDP,16,"Aumann, Carsten",11,,762,762,11,5,16,683,11,12,16,8
904,5,FDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,169,169,10,38,30,19,26,16,13,17
904,5,FDP,,Erststimmen insgesamt,,,14739,,1191,1486,4380,1426,1534,1548,1375,1799
904,5,FDP,,Zweitstimmen insgesamt,,,14322,14322,1070,1846,3203,1845,1806,1430,1301,1821
904,5,FDP,,Gesamtstimmen,,,29061,14322,2261,3332,7583,3271,3340,2978,2676,3620
904,6,Die Linke,1,"Hähnlein, Petra",1,,4247,2720,327,366,394,1527*,328,447,321,537
